Date_ID,Order Date,Year,Month,Day,Month_Name
0,2016-11-08,2016,11,8,November
1,2016-06-12,2016,6,12,June
2,2015-10-11,2015,10,11,October
3,2014-06-09,2014,6,9,June
4,2017-04-15,2017,4,15,April
5,2016-12-05,2016,12,5,December
6,2015-11-22,2015,11,22,November
7,2014-11-11,2014,11,11,November
8,2014-05-13,2014,5,13,May
9,2014-08-27,2014,8,27,August
10,2016-12-09,2016,12,9,December
11,2017-07-16,2017,7,16,July
12,2015-09-25,2015,9,25,September
13,2016-01-16,2016,1,16,January
14,2015-09-17,2015,9,17,September
15,2017-10-19,2017,10,19,October
16,2016-12-08,2016,12,8,December
17,2015-12-27,2015,12,27,December
18,2017-09-10,2017,9,10,September
19,2016-07-17,2016,7,17,July
20,2017-09-19,2017,9,19,September
21,2016-03-11,2016,3,11,March
22,2014-10-20,2014,10,20,October
23,2016-06-20,2016,6,20,June
24,2015-04-18,2015,4,18,April
25,2016-12-11,2016,12,11,December
26,2016-06-17,2016,6,17,June
27,2015-11-24,2015,11,24,November
28,2015-04-30,2015,4,30,April
29,2014-12-05,2014,12,5,December
30,2016-06-04,2016,6,4,June
31,2016-09-18,2016,9,18,September
32,2017-09-14,2017,9,14,September
33,2015-04-26,2015,4,26,April
34,2017-12-09,2017,12,9,December
35,2014-11-26,2014,11,26,November
36,2014-10-12,2014,10,12,October
37,2015-09-03,2015,9,3,September
38,2017-11-13,2017,11,13,November
39,2017-05-28,2017,5,28,May
40,2017-10-26,2017,10,26,October
41,2016-04-05,2016,4,5,April
42,2016-09-17,2016,9,17,September
43,2015-01-31,2015,1,31,January
44,2017-11-06,2017,11,6,November
45,2017-11-09,2017,11,9,November
46,2017-06-17,2017,6,17,June
47,2016-09-06,2016,9,6,September
48,2016-08-29,2016,8,29,August
49,2016-12-01,2016,12,1,December
50,2015-11-13,2015,11,13,November
51,2017-11-23,2017,11,23,November
52,2015-10-15,2015,10,15,October
53,2017-12-25,2017,12,25,December
54,2016-11-03,2016,11,3,November
55,2014-08-25,2014,8,25,August
56,2015-03-02,2015,3,2,March
57,2015-04-05,2015,4,5,April
58,2014-12-26,2014,12,26,December
59,2014-09-20,2014,9,20,September
60,2017-11-05,2017,11,5,November
61,2016-11-06,2016,11,6,November
62,2017-02-02,2017,2,2,February
63,2016-10-13,2016,10,13,October
64,2016-09-05,2016,9,5,September
65,2017-09-18,2017,9,18,September
66,2017-12-22,2017,12,22,December
67,2015-09-07,2015,9,7,September
68,2014-10-22,2014,10,22,October
69,2016-03-13,2016,3,13,March
70,2015-05-31,2015,5,31,May
71,2015-05-28,2015,5,28,May
72,2014-03-01,2014,3,1,March
73,2016-11-20,2016,11,20,November
74,2016-05-11,2016,5,11,May
75,2015-12-28,2015,12,28,December
76,2016-11-16,2016,11,16,November
77,2016-11-07,2016,11,7,November
78,2014-09-08,2014,9,8,September
79,2014-08-05,2014,8,5,August
80,2014-09-14,2014,9,14,September
81,2017-04-21,2017,4,21,April
82,2015-11-21,2015,11,21,November
83,2015-12-15,2015,12,15,December
84,2014-11-19,2014,11,19,November
85,2016-11-28,2016,11,28,November
86,2014-08-26,2014,8,26,August
87,2016-07-16,2016,7,16,July
88,2015-10-12,2015,10,12,October
89,2015-10-31,2015,10,31,October
90,2014-03-21,2014,3,21,March
91,2017-07-06,2017,7,6,July
92,2017-06-24,2017,6,24,June
93,2014-08-03,2014,8,3,August
94,2017-12-17,2017,12,17,December
95,2017-06-03,2017,6,3,June
96,2017-12-01,2017,12,1,December
97,2015-02-09,2015,2,9,February
98,2015-01-02,2015,1,2,January
99,2016-10-28,2016,10,28,October
100,2015-12-24,2015,12,24,December
101,2015-08-09,2015,8,9,August
102,2015-02-28,2015,2,28,February
103,2014-09-13,2014,9,13,September
104,2017-04-07,2017,4,7,April
105,2017-11-12,2017,11,12,November
106,2014-06-01,2014,6,1,June
107,2016-12-10,2016,12,10,December
108,2016-09-11,2016,9,11,September
109,2015-11-28,2015,11,28,November
110,2017-06-08,2017,6,8,June
111,2014-09-19,2014,9,19,September
112,2016-06-06,2016,6,6,June
113,2015-11-10,2015,11,10,November
114,2017-06-16,2017,6,16,June
115,2016-01-22,2016,1,22,January
116,2017-12-28,2017,12,28,December
117,2015-07-30,2015,7,30,July
118,2017-09-16,2017,9,16,September
119,2017-10-13,2017,10,13,October
120,2015-09-26,2015,9,26,September
121,2015-11-02,2015,11,2,November
122,2016-12-18,2016,12,18,December
123,2017-11-19,2017,11,19,November
124,2015-05-04,2015,5,4,May
125,2014-12-30,2014,12,30,December
126,2016-09-12,2016,9,12,September
127,2014-09-27,2014,9,27,September
128,2014-08-09,2014,8,9,August
129,2014-12-28,2014,12,28,December
130,2014-11-04,2014,11,4,November
131,2016-04-23,2016,4,23,April
132,2017-11-03,2017,11,3,November
133,2016-08-30,2016,8,30,August
134,2016-04-25,2016,4,25,April
135,2015-09-01,2015,9,1,September
136,2014-07-12,2014,7,12,July
137,2015-06-22,2015,6,22,June
138,2014-04-13,2014,4,13,April
139,2015-12-20,2015,12,20,December
140,2017-06-15,2017,6,15,June
141,2017-07-08,2017,7,8,July
