City_ID,City
1,Henderson
2,Los Angeles
3,Fort Lauderdale
2,Los Angeles
4,Concord
5,Seattle
6,Fort Worth
7,Madison
8,West Jordan
9,San Francisco
10,Fremont
11,Philadelphia
12,Orem
2,Los Angeles
11,Philadelphia
13,Houston
14,Richardson
13,Houston
15,Naperville
2,Los Angeles
16,Melbourne
17,Eagan
18,Westland
19,Dover
20,New Albany
21,New York City
22,Troy
2,Los Angeles
23,Chicago
24,Gilbert
25,Springfield
21,New York City
26,Jackson
27,Memphis
13,Houston
13,Houston
28,Decatur
9,San Francisco
29,Durham
23,Chicago
30,Columbia
31,Rochester
13,Houston
2,Los Angeles
32,Minneapolis
33,Portland
21,New York City
9,San Francisco
34,Saint Paul
23,Chicago
31,Rochester
35,Aurora
36,Charlotte
37,Orland Park
21,New York City
38,Urbandale
39,Columbus
5,Seattle
40,Bristol
41,Wilmington
13,Houston
42,Bloomington
43,Phoenix
2,Los Angeles
39,Columbus
44,Roseville
11,Philadelphia
9,San Francisco
45,Independence
46,Pasadena
47,Newark
48,Franklin
49,Scottsdale
50,San Jose
5,Seattle
5,Seattle
51,Edmond
2,Los Angeles
11,Philadelphia
52,Carlsbad
5,Seattle
53,San Antonio
2,Los Angeles
23,Chicago
13,Houston
47,Newark
21,New York City
28,Decatur
54,Monroe
55,Fairfield
2,Los Angeles
56,Grand Prairie
21,New York City
57,Redlands
58,Hamilton
59,Westfield
11,Philadelphia
60,Akron
61,Denver
62,Dallas
48,Franklin
63,Whittier
64,Saginaw
62,Dallas
65,Medina
2,Los Angeles
66,Dublin
67,Detroit
30,Columbia
36,Charlotte
68,Tampa
69,Santa Clara
23,Chicago
70,Lakeville
9,San Francisco
71,San Diego
21,New York City
23,Chicago
21,New York City
46,Pasadena
13,Houston
23,Chicago
72,Brentwood
73,Chapel Hill
74,Morristown
75,Cincinnati
9,San Francisco
9,San Francisco
76,Inglewood
11,Philadelphia
13,Houston
2,Los Angeles
33,Portland
77,Tamarac
39,Columbus
78,Colorado Springs
79,Belleville
23,Chicago
21,New York City
80,Taylor
81,Lakewood
82,Arlington
83,Arvada
84,Hackensack
85,Saint Petersburg
11,Philadelphia
21,New York City
86,Long Beach
87,Hesperia
88,Murfreesboro
11,Philadelphia
11,Philadelphia
2,Los Angeles
9,San Francisco
89,Layton
11,Philadelphia
90,Austin
9,San Francisco
91,Lowell
21,New York City
21,New York City
36,Charlotte
39,Columbus
21,New York City
9,San Francisco
92,Manchester
93,Harlingen
94,Tucson
95,Quincy
48,Franklin
13,Houston
9,San Francisco
80,Taylor
96,Pembroke Pines
11,Philadelphia
75,Cincinnati
21,New York City
97,Des Moines
98,Peoria
99,Las Vegas
100,Warwick
26,Jackson
13,Houston
101,Miami
41,Wilmington
21,New York City
9,San Francisco
5,Seattle
102,Huntington Beach
2,Los Angeles
103,Richmond
2,Los Angeles
104,Louisville
105,Lawrence
26,Jackson
106,Canton
107,New Rochelle
53,San Antonio
108,Gastonia
91,Lowell
109,Jacksonville
23,Chicago
13,Houston
21,New York City
67,Detroit
39,Columbus
110,Auburn
60,Akron
111,Norman
4,Concord
28,Decatur
5,Seattle
43,Phoenix
112,Park Ridge
113,Amarillo
23,Chicago
114,Lindenhurst
9,San Francisco
2,Los Angeles
22,Troy
21,New York City
71,San Diego
21,New York City
2,Los Angeles
23,Chicago
115,Huntsville
31,Rochester
5,Seattle
27,Memphis
116,Fayetteville
117,Costa Mesa
118,Parker
21,New York City
119,Atlanta
120,Gladstone
47,Newark
2,Los Angeles
121,Great Falls
13,Houston
67,Detroit
2,Los Angeles
105,Lawrence
122,Lakeland
11,Philadelphia
2,Los Angeles
2,Los Angeles
123,Montgomery
124,Mesa
23,Chicago
21,New York City
1,Henderson
125,Green Bay
94,Tucson
25,Springfield
6,Fort Worth
21,New York City
23,Chicago
9,San Francisco
109,Jacksonville
13,Houston
126,Anaheim
41,Wilmington
2,Los Angeles
9,San Francisco
68,Tampa
5,Seattle
2,Los Angeles
5,Seattle
21,New York City
127,Marysville
86,Long Beach
23,Chicago
2,Los Angeles
61,Denver
103,Richmond
128,Salem
129,Laredo
71,San Diego
11,Philadelphia
11,Philadelphia
68,Tampa
11,Philadelphia
62,Dallas
11,Philadelphia
130,Grove City
21,New York City
23,Chicago
131,Dearborn
21,New York City
5,Seattle
9,San Francisco
35,Aurora
101,Miami
132,Warner Robins
35,Aurora
133,Vallejo
32,Minneapolis
134,Mission Viejo
135,Rochester Hills
136,Plainfield
39,Columbus
137,Sierra Vista
138,Vancouver
21,New York City
21,New York City
39,Columbus
35,Aurora
82,Arlington
21,New York City
104,Louisville
62,Dallas
139,Cleveland
23,Chicago
95,Quincy
39,Columbus
140,Tyler
21,New York City
141,Burlington
26,Jackson
21,New York City
142,Waynesboro
2,Los Angeles
143,Chester
139,Cleveland
5,Seattle
86,Long Beach
144,Cary
21,New York City
21,New York City
145,Palm Coast
146,Mount Vernon
5,Seattle
19,Dover
47,Newark
12,Orem
2,Los Angeles
67,Detroit
11,Philadelphia
147,Hialeah
90,Austin
148,Oceanside
5,Seattle
9,San Francisco
15,Naperville
62,Dallas
71,San Diego
149,Evanston
150,Trenton
9,San Francisco
2,Los Angeles
109,Jacksonville
151,Cottage Grove
21,New York City
125,Green Bay
2,Los Angeles
119,Atlanta
39,Columbus
152,Bossier City
85,Saint Petersburg
82,Arlington
97,Des Moines
75,Cincinnati
9,San Francisco
39,Columbus
30,Columbia
153,Lancaster
153,Lancaster
103,Richmond
154,Asheville
9,San Francisco
31,Rochester
31,Rochester
155,Lake Elsinore
71,San Diego
21,New York City
54,Monroe
9,San Francisco
61,Denver
156,Omaha
157,Edmonds
158,Santa Ana
159,Milwaukee
11,Philadelphia
11,Philadelphia
79,Belleville
9,San Francisco
70,Lakeville
160,Florence
68,Tampa
140,Tyler
30,Columbia
6,Fort Worth
21,New York City
2,Los Angeles
104,Louisville
161,Lorain
162,Linden
163,Salinas
26,Jackson
21,New York City
21,New York City
164,New Brunswick
9,San Francisco
109,Jacksonville
25,Springfield
11,Philadelphia
153,Lancaster
11,Philadelphia
4,Concord
21,New York City
36,Charlotte
4,Concord
11,Philadelphia
21,New York City
25,Springfield
9,San Francisco
67,Detroit
31,Rochester
2,Los Angeles
71,San Diego
30,Columbia
9,San Francisco
107,New Rochelle
67,Detroit
9,San Francisco
13,Houston
67,Detroit
110,Auburn
25,Springfield
165,Garland
23,Chicago
2,Los Angeles
21,New York City
26,Jackson
166,Norwich
159,Milwaukee
53,San Antonio
62,Dallas
167,Alexandria
21,New York City
21,New York City
11,Philadelphia
25,Springfield
168,Toledo
11,Philadelphia
11,Philadelphia
169,Farmington
170,Riverside
9,San Francisco
171,Torrance
5,Seattle
124,Mesa
11,Philadelphia
11,Philadelphia
172,Round Rock
26,Jackson
43,Phoenix
148,Oceanside
9,San Francisco
116,Fayetteville
9,San Francisco
173,Boca Raton
21,New York City
11,Philadelphia
21,New York City
33,Portland
67,Detroit
41,Wilmington
39,Columbus
21,New York City
104,Louisville
46,Pasadena
13,Houston
110,Auburn
109,Jacksonville
21,New York City
50,San Jose
174,Virginia Beach
1,Henderson
138,Vancouver
21,New York City
175,Murrieta
109,Jacksonville
49,Scottsdale
141,Burlington
23,Chicago
71,San Diego
176,Olympia
5,Seattle
2,Los Angeles
21,New York City
177,Washington
11,Philadelphia
2,Los Angeles
25,Springfield
84,Hackensack
75,Cincinnati
178,Jefferson City
2,Los Angeles
141,Burlington
179,Saint Peters
21,New York City
23,Chicago
180,Rockford
101,Miami
9,San Francisco
11,Philadelphia
21,New York City
71,San Diego
11,Philadelphia
13,Houston
168,Toledo
9,San Francisco
181,Brownsville
11,Philadelphia
2,Los Angeles
61,Denver
21,New York City
124,Mesa
39,Columbus
5,Seattle
67,Detroit
182,Yonkers
97,Des Moines
183,Oakland
54,Monroe
71,San Diego
184,Clinton
36,Charlotte
2,Los Angeles
9,San Francisco
13,Houston
170,Riverside
13,Houston
185,Encinitas
9,San Francisco
186,Roswell
187,Jonesboro
103,Richmond
25,Springfield
188,Antioch
11,Philadelphia
189,Homestead
190,La Porte
2,Los Angeles
191,Lansing
192,Cuyahoga Falls
193,Reno
194,Harrisonburg
2,Los Angeles
32,Minneapolis
195,Escondido
21,New York City
26,Jackson
5,Seattle
21,New York City
196,Royal Oak
2,Los Angeles
42,Bloomington
21,New York City
4,Concord
2,Los Angeles
197,Rockville
13,Houston
81,Lakewood
109,Jacksonville
5,Seattle
2,Los Angeles
198,Coral Springs
13,Houston
61,Denver
36,Charlotte
21,New York City
11,Philadelphia
2,Los Angeles
21,New York City
2,Los Angeles
199,Buffalo
75,Cincinnati
200,Boynton Beach
5,Seattle
21,New York City
21,New York City
201,Gulfport
202,Fresno
21,New York City
159,Milwaukee
143,Chester
36,Charlotte
109,Jacksonville
203,Greenville
86,Long Beach
190,La Porte
9,San Francisco
2,Los Angeles
104,Louisville
160,Florence
23,Chicago
6,Fort Worth
13,Houston
204,Macon
205,Cedar Rapids
109,Jacksonville
90,Austin
206,Providence
21,New York City
21,New York City
9,San Francisco
71,San Diego
207,Pueblo
55,Fairfield
34,Saint Paul
9,San Francisco
25,Springfield
82,Arlington
39,Columbus
13,Houston
46,Pasadena
105,Lawrence
39,Columbus
2,Los Angeles
11,Philadelphia
208,Deltona
75,Cincinnati
209,Murray
41,Wilmington
105,Lawrence
23,Chicago
11,Philadelphia
166,Norwich
9,San Francisco
9,San Francisco
161,Lorain
62,Dallas
2,Los Angeles
210,Middletown
2,Los Angeles
21,New York City
109,Jacksonville
211,Freeport
70,Lakeville
149,Evanston
82,Arlington
9,San Francisco
13,Houston
104,Louisville
6,Fort Worth
2,Los Angeles
11,Philadelphia
94,Tucson
212,Pico Rivera
78,Colorado Springs
184,Clinton
133,Vallejo
213,Provo
214,Pleasant Grove
35,Aurora
215,Smyrna
141,Burlington
35,Aurora
21,New York City
128,Salem
39,Columbus
11,Philadelphia
21,New York City
43,Phoenix
56,Grand Prairie
21,New York City
21,New York City
117,Costa Mesa
13,Houston
124,Mesa
163,Salinas
39,Columbus
160,Florence
5,Seattle
216,Parma
113,Amarillo
206,Providence
9,San Francisco
103,Richmond
35,Aurora
23,Chicago
23,Chicago
11,Philadelphia
2,Los Angeles
43,Phoenix
217,Mobile
39,Columbus
218,New Bedford
219,Irving
210,Middletown
5,Seattle
220,Vineland
46,Pasadena
21,New York City
221,Glendale
109,Jacksonville
67,Detroit
11,Philadelphia
2,Los Angeles
13,Houston
222,Niagara Falls
21,New York City
223,Thomasville
224,Westminster
9,San Francisco
26,Jackson
5,Seattle
21,New York City
2,Los Angeles
11,Philadelphia
21,New York City
21,New York City
138,Vancouver
39,Columbus
225,Coppell
9,San Francisco
90,Austin
2,Los Angeles
2,Los Angeles
21,New York City
39,Columbus
156,Omaha
2,Los Angeles
226,Pomona
62,Dallas
11,Philadelphia
227,North Las Vegas
5,Seattle
9,San Francisco
23,Chicago
94,Tucson
228,Allentown
47,Newark
101,Miami
229,Tempe
21,New York City
230,Laguna Niguel
231,Bridgeton
232,Everett
39,Columbus
71,San Diego
233,Watertown
53,San Antonio
21,New York City
13,Houston
71,San Diego
234,Appleton
103,Richmond
235,Bellevue
86,Long Beach
11,Philadelphia
5,Seattle
5,Seattle
9,San Francisco
5,Seattle
21,New York City
11,Philadelphia
30,Columbia
5,Seattle
236,Allen
2,Los Angeles
119,Atlanta
2,Los Angeles
237,El Paso
35,Aurora
160,Florence
21,New York City
21,New York City
174,Virginia Beach
238,Grapevine
176,Olympia
2,Los Angeles
98,Peoria
39,Columbus
21,New York City
239,Carrollton
19,Dover
215,Smyrna
47,Newark
2,Los Angeles
2,Los Angeles
183,Oakland
11,Philadelphia
17,Eagan
21,New York City
240,Kent
2,Los Angeles
21,New York City
241,Lafayette
139,Cleveland
139,Cleveland
242,Tigard
177,Washington
243,Skokie
5,Seattle
11,Philadelphia
11,Philadelphia
9,San Francisco
5,Seattle
159,Milwaukee
2,Los Angeles
5,Seattle
11,Philadelphia
62,Dallas
21,New York City
13,Houston
227,North Las Vegas
244,Plano
245,Suffolk
13,Houston
9,San Francisco
11,Philadelphia
2,Los Angeles
9,San Francisco
11,Philadelphia
11,Philadelphia
11,Philadelphia
246,Indianapolis
39,Columbus
244,Plano
247,Bayonne
2,Los Angeles
5,Seattle
21,New York City
71,San Diego
221,Glendale
11,Philadelphia
9,San Francisco
13,Houston
23,Chicago
9,San Francisco
21,New York City
21,New York City
23,Chicago
11,Philadelphia
66,Dublin
25,Springfield
116,Fayetteville
62,Dallas
109,Jacksonville
9,San Francisco
71,San Diego
11,Philadelphia
31,Rochester
109,Jacksonville
13,Houston
53,San Antonio
183,Oakland
9,San Francisco
6,Fort Worth
13,Houston
13,Houston
11,Philadelphia
71,San Diego
245,Suffolk
248,Greensboro
62,Dallas
23,Chicago
249,Baltimore
2,Los Angeles
21,New York City
48,Franklin
159,Milwaukee
250,Kenosha
21,New York City
7,Madison
13,Houston
251,Olathe
21,New York City
50,San Jose
62,Dallas
110,Auburn
11,Philadelphia
2,Los Angeles
252,Tulsa
23,Chicago
194,Harrisonburg
47,Newark
2,Los Angeles
5,Seattle
2,Los Angeles
23,Chicago
23,Chicago
253,Redmond
254,Raleigh
204,Macon
139,Cleveland
255,Muskogee
54,Monroe
90,Austin
256,Meriden
186,Roswell
36,Charlotte
257,Bowling Green
53,San Antonio
5,Seattle
177,Washington
2,Los Angeles
258,South Bend
2,Los Angeles
13,Houston
40,Bristol
21,New York City
53,San Antonio
35,Aurora
47,Newark
1,Henderson
11,Philadelphia
5,Seattle
9,San Francisco
259,Spokane
39,Columbus
86,Long Beach
53,San Antonio
2,Los Angeles
109,Jacksonville
21,New York City
11,Philadelphia
260,Keller
9,San Francisco
147,Hialeah
55,Fairfield
102,Huntington Beach
261,Port Orange
262,Medford
263,Charlottesville
264,Missoula
32,Minneapolis
101,Miami
160,Florence
67,Detroit
25,Springfield
246,Indianapolis
265,Apopka
2,Los Angeles
148,Oceanside
2,Los Angeles
13,Houston
186,Roswell
200,Boynton Beach
48,Franklin
67,Detroit
233,Watertown
266,Reading
82,Arlington
71,San Diego
9,San Francisco
2,Los Angeles
61,Denver
5,Seattle
49,Scottsdale
241,Lafayette
9,San Francisco
9,San Francisco
267,Broomfield
95,Quincy
239,Carrollton
21,New York City
25,Springfield
268,Paterson
252,Tulsa
23,Chicago
23,Chicago
123,Montgomery
128,Salem
221,Glendale
39,Columbus
269,Oklahoma City
72,Brentwood
39,Columbus
25,Springfield
11,Philadelphia
25,Springfield
13,Houston
270,Chesapeake
46,Pasadena
104,Louisville
271,Lubbock
30,Columbia
23,Chicago
272,Johnson City
13,Houston
110,Auburn
273,San Bernardino
206,Providence
202,Fresno
5,Seattle
153,Lancaster
274,Leominster
6,Fort Worth
31,Rochester
275,Bozeman
98,Peoria
71,San Diego
81,Lakewood
13,Houston
276,Perth Amboy
11,Philadelphia
103,Richmond
67,Detroit
2,Los Angeles
226,Pomona
11,Philadelphia
277,Ontario
5,Seattle
72,Brentwood
9,San Francisco
249,Baltimore
43,Phoenix
2,Los Angeles
13,Houston
21,New York City
278,Rancho Cucamonga
41,Wilmington
279,Moorhead
169,Farmington
41,Wilmington
26,Jackson
33,Portland
61,Denver
94,Tucson
21,New York City
200,Boynton Beach
280,Mesquite
57,Redlands
31,Rochester
281,Stockton
5,Seattle
282,Ormond Beach
283,Sunnyvale
191,Lansing
11,Philadelphia
11,Philadelphia
11,Philadelphia
19,Dover
21,New York City
11,Philadelphia
56,Grand Prairie
21,New York City
86,Long Beach
11,Philadelphia
284,York
4,Concord
21,New York City
285,College Station
286,Saint Louis
95,Quincy
21,New York City
62,Dallas
2,Los Angeles
32,Minneapolis
208,Deltona
23,Chicago
75,Cincinnati
183,Oakland
287,Manteca
129,Laredo
240,Kent
288,San Angelo
9,San Francisco
