Row_ID,Date_ID,Customer_ID,Product_ID,ship_ID,Category_ID,City_ID,Sales,Quantity,Discount,Profit
1,0,CG-12520,FUR-BO-10001798,1,1,1,261.96,2,0.0,41.9136
3,1,DV-13045,OFF-LA-10000240,1,2,2,14.62,2,0.0,6.8714
4,2,SO-20335,FUR-TA-10000577,2,1,3,957.5775,5,0.45,-383.031
6,3,BH-11710,FUR-FU-10001487,2,1,2,48.86,7,0.0,14.1694
13,4,AA-10480,OFF-PA-10002365,2,2,4,15.552,3,0.2,5.4432
14,5,IM-15070,OFF-BI-10003656,2,2,5,407.976,3,0.2,132.5922
15,6,HP-14815,OFF-AP-10002311,2,2,6,68.81,5,0.8,-123.858
17,7,PK-19075,OFF-ST-10004186,2,2,7,665.88,6,0.0,13.3176
18,8,AG-10270,OFF-ST-10000107,1,2,8,55.5,2,0.0,9.99
19,9,ZD-21925,OFF-AR-10003056,1,2,9,8.56,2,0.0,2.4824
22,10,KB-16585,OFF-AR-10000246,2,2,10,19.46,7,0.0,5.0596
24,11,SF-20065,FUR-CH-10002774,1,1,11,71.372,2,0.3,-1.0196
25,12,EB-13870,FUR-TA-10000577,2,1,12,1044.63,3,0.0,240.2649
26,13,EH-13945,OFF-BI-10001634,1,2,2,11.648,2,0.2,4.2224
28,14,TB-21520,FUR-BO-10004834,2,1,11,3083.43,7,0.5,-1665.0522
35,15,MA-17560,OFF-PA-10000249,1,2,13,29.472,3,0.2,9.9468
36,16,GH-14485,TEC-PH-10004977,3,3,14,1097.544,7,0.2,123.4737
38,17,SN-20710,OFF-EN-10002986,2,2,13,113.328,9,0.2,35.415
42,18,LC-16930,TEC-PH-10004093,2,3,15,147.168,4,0.2,16.5564
43,19,RA-19885,OFF-ST-10003479,2,2,2,77.88,2,0.0,3.894
44,20,ES-14080,OFF-ST-10003282,2,2,16,95.616,2,0.2,9.5616
45,21,ON-18715,TEC-AC-10000171,3,3,17,45.98,2,0.0,19.7714
47,22,PO-18865,OFF-ST-10001713,1,2,18,211.96,4,0.0,8.4784
48,23,LH-16900,TEC-AC-10002167,2,3,19,45.0,3,0.0,4.95
50,24,DP-13000,OFF-BI-10004410,2,2,20,38.22,6,0.0,17.9634
54,25,JM-15265,OFF-FA-10000304,2,2,21,15.26,7,0.0,6.2566
56,26,TB-21055,OFF-ST-10000604,3,2,22,208.56,6,0.0,52.14
63,27,KM-16720,TEC-AC-10004633,2,3,2,13.98,2,0.0,6.1512
67,28,PS-18970,FUR-CH-10001146,2,1,23,213.115,5,0.3,-15.2225
68,29,BS-11590,OFF-AR-10002671,2,2,24,1113.024,8,0.2,111.3024
70,30,KD-16270,OFF-PA-10000482,3,2,25,75.88,2,0.0,35.6636
71,31,HM-14980,OFF-BI-10004654,2,2,21,4.616,1,0.2,1.731
72,32,TB-21520,OFF-PA-10004675,1,2,26,19.05,3,0.0,8.763
73,33,JE-15745,FUR-CH-10000513,2,1,27,831.936,8,0.2,-114.3912
76,34,KB-16600,OFF-BI-10004182,3,2,13,1.248,3,0.8,-1.9344
79,35,JE-15745,FUR-FU-10003194,1,1,13,19.3,5,0.6,-14.475
80,1,SC-20770,OFF-AP-10002118,3,2,28,208.16,1,0.0,56.2032
82,36,DN-13690,OFF-AR-10002053,2,2,9,14.9,5,0.0,4.172
84,37,JC-16105,OFF-EN-10000927,2,2,29,200.984,7,0.2,62.8075
85,38,CS-12400,OFF-ST-10003656,3,2,23,230.376,3,0.2,-48.9549
86,39,PO-18865,FUR-CH-10000863,1,1,30,301.96,2,0.0,33.2156
87,40,PG-18895,TEC-AC-10001998,2,3,31,19.99,1,0.0,6.7966
89,41,GM-14455,OFF-ST-10003442,1,2,13,158.368,7,0.2,13.8572
90,42,JS-15685,OFF-AR-10004930,2,2,2,20.1,3,0.0,6.633
93,43,KB-16315,OFF-PA-10003177,1,2,32,12.96,2,0.0,6.2208
96,44,RB-19705,OFF-BI-10004738,2,2,33,5.682,1,0.7,-3.788
